,Postal_Code,Color,Station
240,5427AA,ROOD,UDEN
241,5431AA,ROOD,HAPS
242,5432AA,GEEL,CUIJK
243,5433AA,ROOD,HAPS
244,5437AA,ROOD,HAPS
245,5438AA,ROOD,UDEN
246,5441AA,ROOD,HAPS
247,5443AA,ROOD,HAPS
248,5445AA,ROOD,HAPS
249,5446AA,ROOD,HAPS
250,5447AA,ROOD,HAPS
251,5449AA,ROOD,HAPS
252,5451AA,ROOD,HAPS
253,5461AA,ORANJE,EERDE
254,5463AA,ORANJE,EERDE
255,5466AA,ORANJE,EERDE
256,5467AA,ORANJE,EERDE
257,5469AA,ROOD,UDEN
258,5473AA,ORANJE,EERDE
259,5481AA,ORANJE,EERDE
260,5482AA,ORANJE,EERDE
261,5491AA,ORANJE,EERDE
262,5492AA,ORANJE,EERDE
263,5501AA,ORANJE,EINDHOVEN WEST
264,5502AA,ORANJE,EINDHOVEN WEST
265,5504AA,ORANJE,EINDHOVEN WEST
266,5505AA,ORANJE,EINDHOVEN WEST
267,5506AA,ORANJE,EINDHOVEN WEST
268,5508AA,ORANJE,EINDHOVEN WEST
269,5509AA,ORANJE,EINDHOVEN WEST
270,5511AA,ROOD,HAPERT
271,5512AA,ROOD,HAPERT
272,5513AA,ROOD,HAPERT
273,5521AA,ROOD,HAPERT
274,5524AA,ROOD,HAPERT
275,5525AA,ROOD,HAPERT
276,5527AA,ROOD,HAPERT
277,5528AA,ROOD,HAPERT
278,5529AA,ROOD,HAPERT
279,5531AA,ROOD,HAPERT
280,5534AA,ROOD,HAPERT
281,5541AA,ROOD,HAPERT
282,5551AA,GEEL,EINDHOVEN ZUID
283,5552AA,GEEL,EINDHOVEN ZUID
284,5553AA,GEEL,EINDHOVEN ZUID
285,5554AA,GEEL,EINDHOVEN ZUID
286,5555AA,GEEL,EINDHOVEN ZUID
287,5561AA,ROOD,HAPERT
288,5563AA,GEEL,EINDHOVEN ZUID
289,5571AA,ROOD,HAPERT
290,5575AA,ROOD,HAPERT
291,5581AA,GEEL,EINDHOVEN ZUID
292,5582AA,GEEL,EINDHOVEN ZUID
293,5583AA,GEEL,EINDHOVEN ZUID
294,5591AA,ROOD,Maarheeze
295,5595AA,ROOD,Maarheeze
296,5611AA,GEEL,EINDHOVEN OOST
297,5612AA,GEEL,EINDHOVEN OOST
298,5613AA,GEEL,EINDHOVEN OOST
299,5614AA,GEEL,EINDHOVEN OOST
300,5615AA,GEEL,EINDHOVEN OOST
301,5616AA,ORANJE,EINDHOVEN WEST
302,5617AA,ORANJE,EINDHOVEN WEST
303,5621AA,GEEL,EINDHOVEN NOORD
304,5622AA,GEEL,EINDHOVEN NOORD
305,5623AA,GEEL,EINDHOVEN NOORD
306,5624AA,GEEL,EINDHOVEN NOORD
307,5625AA,GEEL,EINDHOVEN NOORD
308,5626AA,GEEL,EINDHOVEN NOORD
309,5628AA,GEEL,EINDHOVEN OOST
310,5631AA,GEEL,EINDHOVEN OOST
311,5632AA,GEEL,EINDHOVEN OOST
312,5633AA,GEEL,EINDHOVEN OOST
313,5641AA,GEEL,EINDHOVEN OOST
314,5642AA,GEEL,EINDHOVEN OOST
315,5643AA,GEEL,EINDHOVEN OOST
316,5644AA,GEEL,EINDHOVEN OOST
317,5646AA,GEEL,EINDHOVEN OOST
318,5652AA,ORANJE,EINDHOVEN WEST
319,5653AA,ORANJE,EINDHOVEN WEST
320,5654AA,ORANJE,EINDHOVEN WEST
321,5655AA,ORANJE,EINDHOVEN WEST
322,5656AA,ORANJE,EINDHOVEN WEST
323,5657AA,ORANJE,EINDHOVEN WEST
324,5658AA,GEEL,EINDHOVEN NOORD
325,5661AA,GEEL,EINDHOVEN OOST
326,5662AA,GEEL,EINDHOVEN OOST
327,5663AA,GEEL,EINDHOVEN OOST
328,5665AA,GEEL,EINDHOVEN OOST
329,5666AA,GEEL,EINDHOVEN OOST
330,5667AA,GEEL,EINDHOVEN OOST
331,5671AA,GEEL,EINDHOVEN OOST
332,5672AA,GEEL,EINDHOVEN OOST
333,5673AA,GEEL,EINDHOVEN OOST
334,5674AA,GEEL,EINDHOVEN OOST
335,5682AA,ORANJE,BEST
336,5683AA,ORANJE,BEST
337,5684AA,ORANJE,BEST
338,5685AA,ORANJE,BEST
339,5688AA,ORANJE,BEST
340,5689AA,ORANJE,BEST
341,5691AA,ORANJE,BEST
342,5692AA,ORANJE,BEST
343,5694AA,ORANJE,BEST
344,5701AA,ORANJE,HELMOND ZUID
345,5702AA,ORANJE,HELMOND ZUID
346,5703AA,ORANJE,HELMOND ZUID
347,5704AA,ROOD,HELMOND OOST
348,5705AA,ROOD,HELMOND OOST
349,5706AA,ORANJE,HELMOND ZUID
350,5707AA,ORANJE,HELMOND ZUID
351,5708AA,ORANJE,HELMOND ZUID
352,5709AA,ROOD,HELMOND OOST
353,5711AA,ORANJE,HELMOND ZUID
354,5712AA,ROOD,Maarheeze
