,Postal_Code,Color,Station
734,7828AA,ROOD,BARGERMEER
735,7831AA,ROOD,EMMEN WEERDINGE
736,7833AA,ROOD,VEENOORD
737,7841AA,ROOD,BARGERMEER
738,7846AA,ROOD,BARGERMEER
739,7848AA,ROOD,EMMEN WEERDINGE
740,7851AA,ROOD,BEILEN
741,7861AA,GEEL,Coevorden
742,7873AA,ROOD,EMMEN WEERDINGE
743,7875AA,ROOD,EMMEN WEERDINGE
744,7876AA,ROOD,EMMEN WEERDINGE
745,7881AA,ROOD,EMMEN WEERDINGE
746,7885AA,ROOD,KLAZIENAVEEN ZWET
747,7887AA,ROOD,VEENOORD
748,7891AA,ROOD,KLAZIENAVEEN ZWET
749,7892AA,ROOD,KLAZIENAVEEN ZWET
750,7894AA,ROOD,KLAZIENAVEEN ZWET
751,7895AA,ROOD,MUSSELKANAAL ZANDBERG
752,7918AA,ROOD,HOOGEVEEN
753,7921AA,ROOD,HOOGEVEEN
754,7926AA,ROOD,HOOGEVEEN
755,7935AA,ROOD,HOOGEVEEN
756,7941AA,ROOD,Meppel
757,7942AA,ROOD,Meppel
758,7943AA,ROOD,Meppel
759,7944AA,ROOD,Meppel
760,7946AA,ROOD,Zwartsluis
761,7948AA,ROOD,Steenwijk
762,7951AA,ROOD,Meppel
763,7957AA,ROOD,Meppel
764,7961AA,ROOD,Meppel
765,7963AA,ROOD,HOOGEVEEN
766,7965AA,ROOD,Meppel
767,7966AA,ROOD,Meppel
768,7971AA,ROOD,Steenwijk
769,7975AA,ROOD,Steenwijk
770,7981AA,ROOD,BEILEN
771,7991AA,ROOD,BEILEN
772,8011AA,ROOD,Zwolle Weteringkade
773,8012AA,ROOD,Zwolle Weteringkade
774,8013AA,ROOD,Zwolle Weteringkade
775,8014AA,ROOD,Zwolle Weteringkade
776,8015AA,ROOD,Zwolle Weteringkade
777,8016AA,ROOD,Zwolle Weteringkade
778,8017AA,ROOD,Zwolle Weteringkade
779,8019AA,ROOD,Zwolle Frankhuisweg
780,8021AA,ROOD,Zwolle Weteringkade
781,8022AA,ROOD,Zwolle Weteringkade
782,8023AA,ROOD,Zwolle Weteringkade
783,8024AA,ROOD,Zwolle Weteringkade
784,8025AA,ROOD,Zwolle Weteringkade
785,8031AA,ROOD,Zwolle Hessenweg
786,8032AA,ROOD,Zwolle Frankhuisweg
787,8033AA,ROOD,Zwolle Frankhuisweg
788,8041AA,ROOD,Zwolle Frankhuisweg
789,8042AA,ROOD,Zwolle Frankhuisweg
790,8043AA,ROOD,Zwolle Frankhuisweg
791,8061AA,ROOD,Zwartsluis
