1000,1299
1300,1379
1380,1384
1390,1393
1398,1425
1426,1427
1428,1429
1430,2158
2159,2164
2170,3381
3382,3464
3465,3466
3467,3769
3770,3794
3795,3836
3837,3888
3890,3899
3900,3924
3926,3999
4000,4119
4120,4125
4126,4129
4130,4146
4147,4162
4163,4169
4170,4199
4200,4209
4211,4212
4214,4219
4220,4229
4230,4239
4240,4241
4242,4249
4250,4299
4300,4599
4600,4671
4672,4679
4680,4681
4682,4699
4700,5299
5300,5335
5340,5765
5766,5817
5820,5846
5850,6019
6020,6029
6030,6499
6500,6583
6584,6599
6600,7399
7400,7438
7440,7739
7740,7766
7767,7799
7800,7949
7950,7955
7956,7999
8000,8049
8050,8054
8055,8069
8070,8099
8100,8159
8160,8195
8196,8199
8200,8259
8260,8299
8300,8322
8323,8349
8350,8354
8355,8379
8380,8387
8388,9299
9300,9349
9350,9399
9400,9478
9480,9499
9500,9509
9510,9539
9540,9563
9565,9569
9570,9579
9580,9653
9654,9659
9660,9748
9750,9759
9760,9769
9770,9849
9850,9859
9860,9869
9870,9879
9880,9999
